name,japanese_name,pokedex_number,generation,type1,type2,fully_evolved,weight_kg,height_m,hp,attack,defense,sp_attack,sp_defense,speed,base_total,capture_rate,exp_growth,base_happiness,base_egg_steps,percentage_male,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,is_legendary
Hypno,Sleeperスリーパー,97,1,psychic,NT2,1,75.6,1.6,85,73,70,73,115,67,483,75.0,1000000,70,5120,50.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0
Krabby,Crabクラブ,98,1,water,NT2,0,6.5,0.4,30,105,90,25,25,50,325,225.0,1000000,70,5120,50.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0
Kingler,Kinglerキングラー,99,1,water,NT2,1,60.0,1.3,55,130,115,50,50,75,475,60.0,1000000,70,5120,50.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0
Voltorb,Biriridamaビリリダマ,100,1,electric,NT2,0,10.4,0.5,40,30,50,55,55,100,330,190.0,1000000,70,5120,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0
Electrode,Marumineマルマイン,101,1,electric,NT2,1,66.6,1.2,60,50,70,80,80,150,490,60.0,1000000,70,5120,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0
Exeggcute,Tamatamaタマタマ,102,1,grass,psychic,0,2.5,0.4,60,40,80,60,45,40,325,90.0,1250000,70,5120,50.0,4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,0
Exeggutor,Nassyナッシー,103,1,grass,psychic,1,120.0,2.0,95,95,85,125,75,55,530,45.0,1250000,70,5120,50.0,4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,0
Cubone,Karakaraカラカラ,104,1,ground,NT2,0,6.5,0.4,50,50,95,40,50,35,320,190.0,1000000,70,5120,50.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,0
Marowak,Garagaraガラガラ,105,1,ground,fire,1,45.0,1.0,60,80,110,50,80,45,425,75.0,1000000,70,5120,50.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,0
Hitmonlee,Sawamularサワムラー,106,1,fighting,NT2,1,49.8,1.5,50,120,53,35,110,87,455,45.0,1000000,70,6400,100.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0
Hitmonchan,Ebiwalarエビワラー,107,1,fighting,NT2,1,50.2,1.4,50,105,79,35,110,76,455,45.0,1000000,70,6400,100.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0
Lickitung,Beroringaベロリンガ,108,1,normal,NT2,0,65.5,1.2,90,55,75,60,75,30,385,45.0,1000000,70,5120,50.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
Koffing,Dogarsドガース,109,1,poison,NT2,0,1.0,0.6,40,65,95,60,45,35,340,190.0,1000000,70,5120,50.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0
Weezing,Matadogasマタドガス,110,1,poison,NT2,1,9.5,1.2,65,90,120,85,70,60,490,60.0,1000000,70,5120,50.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0
Rhyhorn,Sihornサイホーン,111,1,ground,rock,0,115.0,1.0,80,85,95,30,30,25,345,120.0,1250000,70,5120,50.0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,0
Rhydon,Sidonサイドン,112,1,ground,rock,0,120.0,1.9,105,130,120,45,45,40,485,60.0,1250000,70,5120,50.0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,0
Chansey,Luckyラッキー,113,1,normal,NT2,0,34.6,1.1,250,5,5,35,105,50,450,30.0,800000,140,10240,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
Tangela,Monjaraモンジャラ,114,1,grass,NT2,0,35.0,1.0,65,55,115,100,40,60,435,45.0,1000000,70,5120,50.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0
Kangaskhan,Garuraガルーラ,115,1,normal,NT2,1,80.0,2.2,105,95,80,40,80,90,490,45.0,1000000,70,5120,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
Horsea,Tattuタッツー,116,1,water,NT2,0,8.0,0.4,30,40,70,70,25,60,295,225.0,1000000,70,5120,50.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0
Seadra,Seadraシードラ,117,1,water,NT2,0,25.0,1.2,55,65,95,95,45,85,440,75.0,1000000,70,5120,50.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0
Goldeen,Tosakintoトサキント,118,1,water,NT2,0,15.0,0.6,45,67,60,35,50,63,320,225.0,1000000,70,5120,50.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0
Seaking,Azumaoアズマオウ,119,1,water,NT2,1,39.0,1.3,80,92,65,65,80,68,450,60.0,1000000,70,5120,50.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0
Staryu,Hitodemanヒトデマン,120,1,water,NT2,0,34.5,0.8,30,45,55,70,55,85,340,225.0,1250000,70,5120,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0
Starmie,Starmieスターミー,121,1,water,psychic,1,80.0,1.1,60,75,85,100,85,115,520,60.0,1250000,70,5120,0.0,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0
Mr. Mime,Barrierdバリヤード,122,1,psychic,fairy,0,54.5,1.3,40,45,65,100,120,90,460,45.0,1000000,70,6400,50.0,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,0
Scyther,Strikeストライク,123,1,bug,flying,0,56.0,1.5,70,110,80,55,80,105,500,45.0,1000000,70,6400,50.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0
Jynx,Rougelaルージュラ,124,1,ice,psychic,1,40.6,1.4,65,50,35,115,95,95,455,45.0,1000000,70,6400,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0,0
Electabuzz,Elebooエレブー,125,1,electric,NT2,0,30.0,1.1,65,83,57,95,85,105,490,45.0,1000000,70,6400,75.4,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0
Magmar,Booberブーバー,126,1,fire,NT2,0,44.5,1.3,65,95,57,100,85,93,495,45.0,1000000,70,6400,75.4,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0
Pinsir,Kailiosカイロス,127,1,bug,NT2,1,55.0,1.5,65,125,100,55,70,85,500,45.0,1250000,70,6400,50.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0
Tauros,Kentaurosケンタロス,128,1,normal,NT2,1,88.4,1.4,75,100,95,40,70,110,490,45.0,1250000,70,5120,100.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
Magikarp,Koikingコイキング,129,1,water,NT2,0,10.0,0.9,20,10,55,15,20,80,200,255.0,1250000,70,1280,50.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0
Gyarados,Gyaradosギャラドス,130,1,water,flying,1,235.0,6.5,95,125,79,60,100,81,540,45.0,1250000,70,1280,50.0,0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,0
Lapras,Laplaceラプラス,131,1,water,ice,1,220.0,2.5,130,85,80,85,95,60,535,45.0,1250000,70,10240,50.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,0
Ditto,Metamonメタモン,132,1,normal,NT2,1,4.0,0.3,48,48,48,48,48,48,288,35.0,1000000,70,5120,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
Eevee,Eievuiイーブイ,133,1,normal,NT2,1,6.5,0.3,55,55,50,45,65,55,325,45.0,1000000,70,8960,88.1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
Vaporeon,Showersシャワーズ,134,1,water,NT2,1,29.0,1.0,130,65,60,110,95,65,525,45.0,1000000,70,8960,88.1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0
Jolteon,Thundersサンダース,135,1,electric,NT2,1,24.5,0.8,65,65,60,110,95,130,525,45.0,1000000,70,8960,88.1,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0
Flareon,Boosterブースター,136,1,fire,NT2,1,25.0,0.9,65,130,60,95,110,65,525,45.0,1000000,70,8960,88.1,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0
Porygon,Porygonポリゴン,137,1,normal,NT2,0,36.5,0.8,65,60,70,85,75,40,395,45.0,1000000,70,5120,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
Omanyte,Omniteオムナイト,138,1,rock,water,0,7.5,0.4,35,40,100,90,55,35,355,45.0,1000000,70,7680,88.1,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0
Omastar,Omstarオムスター,139,1,rock,water,1,35.0,1.0,70,60,125,115,70,55,495,45.0,1000000,70,7680,88.1,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0
Kabuto,Kabutoカブト,140,1,rock,water,0,11.5,0.5,30,80,90,55,45,55,355,45.0,1000000,70,7680,88.1,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0
Kabutops,Kabutopsカブトプス,141,1,rock,water,1,40.5,1.3,60,115,105,65,70,80,495,45.0,1000000,70,7680,88.1,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0
Aerodactyl,Pteraプテラ,142,1,rock,flying,1,59.0,1.8,80,105,65,60,75,130,515,45.0,1250000,70,8960,88.1,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,0.5,0.5,1.0,2.0,2.0,2.0,0
Snorlax,Kabigonカビゴン,143,1,normal,NT2,1,460.0,2.1,160,110,65,65,110,30,540,25.0,1250000,70,10240,88.1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
Articuno,Freezerフリーザー,144,1,ice,flying,1,55.4,1.7,90,85,100,95,125,85,580,3.0,1250000,35,20480,0.0,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1
Zapdos,Thunderサンダー,145,1,electric,flying,1,52.6,1.6,90,90,85,125,90,100,580,3.0,1250000,35,20480,0.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0,1
Moltres,Fireファイヤー,146,1,fire,flying,1,60.0,2.0,90,100,90,125,85,90,580,3.0,1250000,35,20480,0.0,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,1
Dratini,Miniryuミニリュウ,147,1,dragon,NT2,0,3.3,1.8,41,64,45,50,50,50,300,45.0,1250000,35,10240,50.0,1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0
Dragonair,Hakuryuハクリュー,148,1,dragon,NT2,0,16.5,4.0,61,84,65,70,70,70,420,45.0,1250000,35,10240,50.0,1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0
Dragonite,Kairyuカイリュー,149,1,dragon,flying,1,210.0,2.2,91,134,95,100,100,80,600,45.0,1250000,35,10240,50.0,0.5,1.0,2.0,1.0,2.0,0.5,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5,0
Mewtwo,Mewtwoミュウツー,150,1,psychic,NT2,1,122.0,2.0,106,110,90,154,90,130,680,3.0,1250000,0,30720,0.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1
Mew,Mewミュウ,151,1,psychic,NT2,1,4.0,0.4,100,100,100,100,100,100,600,45.0,1059860,100,30720,0.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1
Chikorita,Chicoritaチコリータ,152,2,grass,NT2,0,6.4,0.9,45,49,65,49,65,45,318,45.0,1059860,70,5120,88.1,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0
Bayleef,Bayleafベイリーフ,153,2,grass,NT2,0,15.8,1.2,60,62,80,63,80,60,405,45.0,1059860,70,5120,88.1,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0
Meganium,Meganiumメガニウム,154,2,grass,NT2,1,100.5,1.8,80,82,100,83,100,80,525,45.0,1059860,70,5120,88.1,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0
Cyndaquil,Hinoarashiヒノアラシ,155,2,fire,NT2,0,7.9,0.5,39,52,43,60,50,65,309,45.0,1059860,70,5120,88.1,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0
Quilava,Magmarashiマグマラシ,156,2,fire,NT2,0,19.0,0.9,58,64,58,80,65,80,405,45.0,1059860,70,5120,88.1,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0
Typhlosion,Bakphoonバクフーン,157,2,fire,NT2,1,79.5,1.7,78,84,78,109,85,100,534,45.0,1059860,70,5120,88.1,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0
Totodile,Waninokoワニノコ,158,2,water,NT2,0,9.5,0.6,50,65,64,44,48,43,314,45.0,1059860,70,5120,88.1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0
Croconaw,Alligatesアリゲイツ,159,2,water,NT2,0,25.0,1.1,65,80,80,59,63,58,405,45.0,1059860,70,5120,88.1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0
Feraligatr,Ordileオーダイル,160,2,water,NT2,1,88.8,2.3,85,105,100,79,83,78,530,45.0,1059860,70,5120,88.1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0
Sentret,Otachiオタチ,161,2,normal,NT2,0,6.0,0.8,35,46,34,35,45,20,215,255.0,1000000,70,3840,50.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
Furret,Ootachiオオタチ,162,2,normal,NT2,1,32.5,1.8,85,76,64,45,55,90,415,90.0,1000000,70,3840,50.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
Hoothoot,Hohoホーホー,163,2,normal,flying,0,21.2,0.7,60,30,30,36,56,50,262,255.0,1000000,70,3840,50.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0
Noctowl,Yorunozukuヨルノズク,164,2,normal,flying,1,40.8,1.6,100,50,50,86,96,70,452,90.0,1000000,70,3840,50.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0
Ledyba,Redibaレディバ,165,2,bug,flying,0,10.8,1.0,40,20,30,40,80,55,265,255.0,800000,70,3840,50.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0
Ledian,Redianレディアン,166,2,bug,flying,1,35.6,1.4,55,35,50,55,110,85,390,90.0,800000,70,3840,50.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0
Spinarak,Itomaruイトマル,167,2,bug,poison,0,8.5,0.5,40,60,40,40,40,30,250,255.0,800000,70,3840,50.0,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0
Ariados,Ariadosアリアドス,168,2,bug,poison,1,33.5,1.1,70,90,70,60,70,40,400,90.0,800000,70,3840,50.0,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0
Crobat,Crobatクロバット,169,2,poison,flying,1,75.0,1.8,85,90,80,70,80,130,535,90.0,1000000,70,3840,50.0,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,0
Chinchou,Chonchieチョンチー,170,2,water,electric,0,12.0,0.5,75,38,38,56,56,67,330,190.0,1250000,70,5120,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5,0
Lanturn,Lanternランターン,171,2,water,electric,1,22.5,1.2,125,58,58,76,76,67,460,75.0,1250000,70,5120,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5,0
Pichu,Pichuピチュー,172,2,electric,NT2,0,2.0,0.3,20,40,15,35,35,60,205,190.0,1000000,70,2560,50.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0
Cleffa,Pyピィ,173,2,fairy,NT2,0,3.0,0.3,50,25,28,45,55,15,218,150.0,800000,140,2560,24.6,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0
Igglybuff,Pupurinププリン,174,2,normal,fairy,0,1.0,0.3,90,30,15,40,20,15,210,170.0,800000,70,2560,24.6,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0
Togepi,Togepyトゲピー,175,2,fairy,NT2,0,1.5,0.3,35,20,65,40,65,20,245,190.0,800000,70,2560,88.1,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0
Togetic,Togechickトゲチック,176,2,fairy,flying,0,3.2,0.6,55,40,85,80,105,40,405,75.0,800000,70,2560,88.1,0.25,0.5,0.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,0
Natu,Natyネイティ,177,2,psychic,flying,0,2.0,0.2,40,50,45,70,45,70,320,190.0,1000000,70,5120,50.0,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,0
Xatu,Natioネイティオ,178,2,psychic,flying,1,15.0,1.5,65,75,70,95,70,95,470,75.0,1000000,70,5120,50.0,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,0
Mareep,Merriepメリープ,179,2,electric,NT2,0,7.8,0.6,55,40,40,65,45,35,280,235.0,1059860,70,5120,50.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0
Flaaffy,Mokokoモココ,180,2,electric,NT2,0,13.3,0.8,70,55,55,80,60,45,365,120.0,1059860,70,5120,50.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0
Ampharos,Denryuデンリュウ,181,2,electric,NT2,1,61.5,1.4,90,75,85,115,90,55,510,45.0,1059860,70,5120,50.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0
Bellossom,Kireihanaキレイハナ,182,2,grass,NT2,1,5.8,0.4,75,80,95,90,100,50,490,45.0,1059860,70,5120,50.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0
Marill,Marilマリル,183,2,water,fairy,0,8.5,0.4,70,20,50,20,50,40,250,190.0,800000,70,2560,50.0,0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,0
Azumarill,Marilliマリルリ,184,2,water,fairy,1,28.5,0.8,100,50,80,60,80,50,420,75.0,800000,70,2560,50.0,0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,0
Sudowoodo,Usokkieウソッキー,185,2,rock,NT2,1,38.0,1.2,70,100,115,30,65,30,410,65.0,1000000,70,5120,50.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,0
Politoed,Nyorotonoニョロトノ,186,2,water,NT2,1,33.9,1.1,90,75,75,90,100,70,500,45.0,1059860,70,5120,50.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0
Hoppip,Haneccoハネッコ,187,2,grass,flying,0,0.5,0.4,35,35,40,35,55,50,250,255.0,1059860,70,5120,50.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,0
Skiploom,Popoccoポポッコ,188,2,grass,flying,0,1.0,0.6,55,45,50,45,65,80,340,120.0,1059860,70,5120,50.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,0
Jumpluff,Wataccoワタッコ,189,2,grass,flying,1,3.0,0.8,75,55,70,55,95,110,460,45.0,1059860,70,5120,50.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,0
Aipom,Eipamエイパム,190,2,normal,NT2,0,11.5,0.8,55,70,55,40,55,85,360,45.0,800000,70,5120,50.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
Sunkern,Himanutsヒマナッツ,191,2,grass,NT2,0,1.8,0.3,30,30,30,30,30,30,180,235.0,1059860,70,5120,50.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0
Sunflora,Kimawariキマワリ,192,2,grass,NT2,1,8.5,0.8,75,75,55,105,85,30,425,120.0,1059860,70,5120,50.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0
Yanma,Yanyanmaヤンヤンマ,193,2,bug,flying,0,38.0,1.2,65,65,45,75,45,95,390,75.0,1000000,70,5120,50.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0
